,GDP_Growth,Inflation,Scenario
124,10.64685303896379,-6.300855995728571,Optimistic
125,7.219334947636044,12.31453465576957,Base
126,7.401531514488839,0.3902051283439292,Base
127,8.491020272902547,6.668840003581758,Base
128,10.672561955359726,-20.13821000231441,Optimistic
129,8.910849973879364,8.619277624554561,Base
130,9.405404249803125,-6.405805127488065,Base
131,8.642852254087122,-8.336829512591004,Base
132,9.919340455994256,-8.121184497703835,Base
133,8.4117007895557,-5.953087574789514,Base
134,7.883055914632539,0.9585891824512567,Base
135,5.905982610784092,-0.959644465150325,Base
136,10.085802607543148,-12.942801288529937,Base
137,9.984625863185906,0.21239733925552162,Base
138,6.895179091901511,-0.05995101815417314,Base
139,8.965673523089507,2.4854690577319904,Base
140,10.126485394389295,-3.505765736555645,Base
141,11.413055380960381,-2.5885089471603626,Base
